#スキル系統,発動スキル,必要ポイント,カテゴリ,効果,系統番号,仮番号,コスト,基本説明,効果検索用テキスト
逆襲,逆襲Lv3,3,戦闘(攻撃),ふきとばされた後は、一定時間攻撃力がある。スキル発動時、攻撃力+25,91,910,6,吹き飛ばされた後、一定時間攻撃力を高める。,逆襲 逆襲Lv3 吹き飛ばされた後、一定時間攻撃力を高める。 ふきとばされた後は、一定時間攻撃力がある。スキル発動時、攻撃力+25
巧撃,巧撃Lv1,1,戦闘(攻撃),回避時、タイミングよくモンスターの攻撃が重なると、一定時間攻撃力が上がる,,,9,回避でモンスターの攻撃をタイミングよくかわすと、一定時間攻撃力を高める。,巧撃 巧撃Lv1 回避でモンスターの攻撃をタイミングよくかわすと、一定時間攻撃力を高める。 回避時、タイミングよくモンスターの攻撃が重なると、一定時間攻撃力が上がる
巧撃,巧撃Lv2,2,戦闘(攻撃),回避時、タイミングよくモンスターの攻撃が重なると、一定時間攻撃力が上がる,,,9,回避でモンスターの攻撃をタイミングよくかわすと、一定時間攻撃力を高める。,巧撃 巧撃Lv2 回避でモンスターの攻撃をタイミングよくかわすと、一定時間攻撃力を高める。 回避時、タイミングよくモンスターの攻撃が重なると、一定時間攻撃力が上がる
巧撃,巧撃Lv3,3,戦闘(攻撃),回避時、タイミングよくモンスターの攻撃が重なると、一定時間攻撃力が上がる,,,9,回避でモンスターの攻撃をタイミングよくかわすと、一定時間攻撃力を高める。,巧撃 巧撃Lv3 回避でモンスターの攻撃をタイミングよくかわすと、一定時間攻撃力を高める。 回避時、タイミングよくモンスターの攻撃が重なると、一定時間攻撃力が上がる
火事場力,火事場力Lv1,1,戦闘(攻撃),体力が最大値の35%以下の時に防御力+50,81,810,9,体力が一定以下になると防御力と攻撃力を高める。,火事場力 火事場力Lv1 体力が一定以下になると防御力と攻撃力を高める。 体力が最大値の35%以下の時に防御力+50
火事場力,火事場力Lv2,2,戦闘(攻撃),体力が最大値の35%以下の時に攻撃力1.05倍、防御力+50,81,810,9,体力が一定以下になると防御力と攻撃力を高める。,火事場力 火事場力Lv2 体力が一定以下になると防御力と攻撃力を高める。 体力が最大値の35%以下の時に攻撃力1.05倍、防御力+50
火事場力,火事場力Lv3,3,戦闘(攻撃),体力が最大値の35%以下の時に攻撃力1.05倍、防御力+100,81,810,9,体力が一定以下になると防御力と攻撃力を高める。,火事場力 火事場力Lv3 体力が一定以下になると防御力と攻撃力を高める。 体力が最大値の35%以下の時に攻撃力1.05倍、防御力+100
火事場力,火事場力Lv4,4,戦闘(攻撃),体力が最大値の35%以下の時に攻撃力1.1倍、防御力+100,81,810,9,体力が一定以下になると防御力と攻撃力を高める。,火事場力 火事場力Lv4 体力が一定以下になると防御力と攻撃力を高める。 体力が最大値の35%以下の時に攻撃力1.1倍、防御力+100
火事場力,火事場力Lv5,5,戦闘(攻撃),体力が最大値の35%以下の時に攻撃力1.3倍,81,810,9,体力が一定以下になると防御力と攻撃力を高める。,火事場力 火事場力Lv5 体力が一定以下になると防御力と攻撃力を高める。 体力が最大値の35%以下の時に攻撃力1.3倍
不屈,不屈Lv1,1,戦闘(攻撃),1回力尽きるごとに攻撃力1.1倍、防御力1.15倍,82,820,3,力尽きるたびに攻撃力と防御力を高める。,不屈 不屈Lv1 力尽きるたびに攻撃力と防御力を高める。 1回力尽きるごとに攻撃力1.1倍、防御力1.15倍
見切り,見切りLv1,1,戦闘(攻撃),会心率+5%,6,60,15,会心率を高める。,見切り 見切りLv1 会心率を高める。 会心率+5%
見切り,見切りLv2,2,戦闘(攻撃),会心率+10%,6,60,15,会心率を高める。,見切り 見切りLv2 会心率を高める。 会心率+10%
見切り,見切りLv3,3,戦闘(攻撃),会心率+15%,6,60,15,会心率を高める。,見切り 見切りLv3 会心率を高める。 会心率+15%
見切り,見切りLv4,4,戦闘(攻撃),会心率+20%,6,60,15,会心率を高める。,見切り 見切りLv4 会心率を高める。 会心率+20%
見切り,見切りLv5,5,戦闘(攻撃),会心率+25%,6,60,15,会心率を高める。,見切り 見切りLv5 会心率を高める。 会心率+25%
見切り,見切りLv6,6,戦闘(攻撃),会心率+30%,6,60,15,会心率を高める。,見切り 見切りLv6 会心率を高める。 会心率+30%
見切り,見切りLv7,7,戦闘(攻撃),会心率+40%,6,60,15,会心率を高める。,見切り 見切りLv7 会心率を高める。 会心率+40%
超会心,超会心Lv1,1,戦闘(攻撃),会心攻撃のダメージ倍率を1.3倍に強化する,7,70,15,会心攻撃のダメージ倍率を高める。,超会心 超会心Lv1 会心攻撃のダメージ倍率を高める。 会心攻撃のダメージ倍率を1.3倍に強化する
超会心,超会心Lv2,2,戦闘(攻撃),会心攻撃のダメージ倍率を1.35倍に強化する,7,70,15,会心攻撃のダメージ倍率を高める。,超会心 超会心Lv2 会心攻撃のダメージ倍率を高める。 会心攻撃のダメージ倍率を1.35倍に強化する
超会心,超会心Lv3,3,戦闘(攻撃),会心攻撃のダメージ倍率を1.4倍に強化する,7,70,15,会心攻撃のダメージ倍率を高める。,超会心 超会心Lv3 会心攻撃のダメージ倍率を高める。 会心攻撃のダメージ倍率を1.4倍に強化する
弱点特効,弱点特効Lv1,1,戦闘(攻撃),有効部位への攻撃時、会心率+15％,8,80,15,肉質が有効な部位を攻撃した際の会心率を高める。,弱点特効 弱点特効Lv1 肉質が有効な部位を攻撃した際の会心率を高める。 有効部位への攻撃時、会心率+15％
弱点特効,弱点特効Lv2,2,戦闘(攻撃),有効部位への攻撃時、会心率+30％,8,80,15,肉質が有効な部位を攻撃した際の会心率を高める。,弱点特効 弱点特効Lv2 肉質が有効な部位を攻撃した際の会心率を高める。 有効部位への攻撃時、会心率+30％
弱点特効,弱点特効Lv3,3,戦闘(攻撃),有効部位への攻撃時、会心率+50％,8,80,15,肉質が有効な部位を攻撃した際の会心率を高める。,弱点特効 弱点特効Lv3 肉質が有効な部位を攻撃した際の会心率を高める。 有効部位への攻撃時、会心率+50％
力の解放,力の解放Lv1,1,戦闘(攻撃),特定の条件を満たすと、一定時間会心率+10%、固定スタミナ消費量30%軽減,9,90,12,条件を満たすと一定時間会心率を上げ、固定スタミナ消費行動を軽減する。,力の解放 力の解放Lv1 条件を満たすと一定時間会心率を上げ、固定スタミナ消費行動を軽減する。 特定の条件を満たすと、一定時間会心率+10%、固定スタミナ消費量30%軽減
力の解放,力の解放Lv2,2,戦闘(攻撃),特定の条件を満たすと、一定時間会心率+20%、固定スタミナ消費量30%軽減,9,90,12,条件を満たすと一定時間会心率を上げ、固定スタミナ消費行動を軽減する。,力の解放 力の解放Lv2 条件を満たすと一定時間会心率を上げ、固定スタミナ消費行動を軽減する。 特定の条件を満たすと、一定時間会心率+20%、固定スタミナ消費量30%軽減
力の解放,力の解放Lv3,3,戦闘(攻撃),特定の条件を満たすと、一定時間会心率+30%、固定スタミナ消費量50%軽減,9,90,12,条件を満たすと一定時間会心率を上げ、固定スタミナ消費行動を軽減する。,力の解放 力の解放Lv3 条件を満たすと一定時間会心率を上げ、固定スタミナ消費行動を軽減する。 特定の条件を満たすと、一定時間会心率+30%、固定スタミナ消費量50%軽減
力の解放,力の解放Lv4,4,戦闘(攻撃),特定の条件を満たすと、一定時間会心率+40%、固定スタミナ消費量50%軽減,9,90,12,条件を満たすと一定時間会心率を上げ、固定スタミナ消費行動を軽減する。,力の解放 力の解放Lv4 条件を満たすと一定時間会心率を上げ、固定スタミナ消費行動を軽減する。 特定の条件を満たすと、一定時間会心率+40%、固定スタミナ消費量50%軽減
力の解放,力の解放Lv5,5,戦闘(攻撃),特定の条件を満たすと、一定時間会心率+50%、固定スタミナ消費量50%軽減,9,90,12,条件を満たすと一定時間会心率を上げ、固定スタミナ消費行動を軽減する。,力の解放 力の解放Lv5 条件を満たすと一定時間会心率を上げ、固定スタミナ消費行動を軽減する。 特定の条件を満たすと、一定時間会心率+50%、固定スタミナ消費量50%軽減
渾身,渾身Lv1,1,戦闘(攻撃),スタミナゲージが満タン状態を5秒間維持すれば、会心率+10%,10,100,12,スタミナ満タンを一定時間維持すると会心率を高める。,渾身 渾身Lv1 スタミナ満タンを一定時間維持すると会心率を高める。 スタミナゲージが満タン状態を5秒間維持すれば、会心率+10%
渾身,渾身Lv2,2,戦闘(攻撃),スタミナゲージが満タン状態を5秒間維持すれば、会心率+20%,10,100,12,スタミナ満タンを一定時間維持すると会心率を高める。,渾身 渾身Lv2 スタミナ満タンを一定時間維持すると会心率を高める。 スタミナゲージが満タン状態を5秒間維持すれば、会心率+20%
渾身,渾身Lv3,3,戦闘(攻撃),スタミナゲージが満タン状態を5秒間維持すれば、会心率+30%,10,100,12,スタミナ満タンを一定時間維持すると会心率を高める。,渾身 渾身Lv3 スタミナ満タンを一定時間維持すると会心率を高める。 スタミナゲージが満タン状態を5秒間維持すれば、会心率+30%
連撃,連撃Lv1,1,戦闘(攻撃),攻撃を当て続けることで、段階的に攻撃力、属性値が上がる(上昇効果は武器種ごとに異なる),,,12,攻撃を当て続けることで攻撃力・属性値を段階的に高める。,連撃 連撃Lv1 攻撃を当て続けることで攻撃力・属性値を段階的に高める。 攻撃を当て続けることで、段階的に攻撃力、属性値が上がる(上昇効果は武器種ごとに異なる)
連撃,連撃Lv2,2,戦闘(攻撃),攻撃を当て続けることで、段階的に攻撃力、属性値が上がる(上昇効果は武器種ごとに異なる),,,12,攻撃を当て続けることで攻撃力・属性値を段階的に高める。,連撃 連撃Lv2 攻撃を当て続けることで攻撃力・属性値を段階的に高める。 攻撃を当て続けることで、段階的に攻撃力、属性値が上がる(上昇効果は武器種ごとに異なる)
連撃,連撃Lv3,3,戦闘(攻撃),攻撃を当て続けることで、段階的に攻撃力、属性値が上がる(上昇効果は武器種ごとに異なる),,,12,攻撃を当て続けることで攻撃力・属性値を段階的に高める。,連撃 連撃Lv3 攻撃を当て続けることで攻撃力・属性値を段階的に高める。 攻撃を当て続けることで、段階的に攻撃力、属性値が上がる(上昇効果は武器種ごとに異なる)
闇討ち,闇討ちLv1,1,戦闘(攻撃),大型モンスターに背後から攻撃を当てると、ダメージが増加する,,,12,大型モンスターを背後から攻撃した際のダメージを高める。,闇討ち 闇討ちLv1 大型モンスターを背後から攻撃した際のダメージを高める。 大型モンスターに背後から攻撃を当てると、ダメージが増加する
闇討ち,闇討ちLv2,2,戦闘(攻撃),大型モンスターに背後から攻撃を当てると、ダメージが増加する,,,12,大型モンスターを背後から攻撃した際のダメージを高める。,闇討ち 闇討ちLv2 大型モンスターを背後から攻撃した際のダメージを高める。 大型モンスターに背後から攻撃を当てると、ダメージが増加する
闇討ち,闇討ちLv3,3,戦闘(攻撃),大型モンスターに背後から攻撃を当てると、ダメージが増加する,,,12,大型モンスターを背後から攻撃した際のダメージを高める。,闇討ち 闇討ちLv3 大型モンスターを背後から攻撃した際のダメージを高める。 大型モンスターに背後から攻撃を当てると、ダメージが増加する
狂竜症【蝕】,狂竜症【蝕】Lv1,1,戦闘(攻撃),狂竜症の効果が変質し、感染時に体力が徐々に減少するが、様々な効果を得る。戦闘状態だと定期的に狂竜症に感染する。,,,12,狂竜症を変質させ、体力を徐々に失う代わりに攻撃性能などを得る。戦闘中は定期的に狂竜症へ感染する。,狂竜症【蝕】 狂竜症【蝕】Lv1 狂竜症を変質させ、体力を徐々に失う代わりに攻撃性能などを得る。戦闘中は定期的に狂竜症へ感染する。 狂竜症の効果が変質し、感染時に体力が徐々に減少するが、様々な効果を得る。戦闘状態だと定期的に狂竜症に感染する。
狂竜症【蝕】,狂竜症【蝕】Lv2,2,戦闘(攻撃),狂竜症の効果が変質し、感染時に体力が徐々に減少するが、様々な効果を得る。戦闘状態だと定期的に狂竜症に感染する。,,,12,狂竜症を変質させ、体力を徐々に失う代わりに攻撃性能などを得る。戦闘中は定期的に狂竜症へ感染する。,狂竜症【蝕】 狂竜症【蝕】Lv2 狂竜症を変質させ、体力を徐々に失う代わりに攻撃性能などを得る。戦闘中は定期的に狂竜症へ感染する。 狂竜症の効果が変質し、感染時に体力が徐々に減少するが、様々な効果を得る。戦闘状態だと定期的に狂竜症に感染する。
狂竜症【蝕】,狂竜症【蝕】Lv3,3,戦闘(攻撃),狂竜症の効果が変質し、感染時に体力が徐々に減少するが、様々な効果を得る。戦闘状態だと定期的に狂竜症に感染する。,,,12,狂竜症を変質させ、体力を徐々に失う代わりに攻撃性能などを得る。戦闘中は定期的に狂竜症へ感染する。,狂竜症【蝕】 狂竜症【蝕】Lv3 狂竜症を変質させ、体力を徐々に失う代わりに攻撃性能などを得る。戦闘中は定期的に狂竜症へ感染する。 狂竜症の効果が変質し、感染時に体力が徐々に減少するが、様々な効果を得る。戦闘状態だと定期的に狂竜症に感染する。
災禍転福,災禍転福Lv1,1,戦闘(攻撃),状態異常や属性やられを解除すると30秒間、攻撃性能が上がる,,,12,状態異常や属性やられを解除すると、一定時間攻撃性能を高める。,災禍転福 災禍転福Lv1 状態異常や属性やられを解除すると、一定時間攻撃性能を高める。 状態異常や属性やられを解除すると30秒間、攻撃性能が上がる
災禍転福,災禍転福Lv2,2,戦闘(攻撃),状態異常や属性やられを解除すると30秒間、攻撃性能が上がる,,,12,状態異常や属性やられを解除すると、一定時間攻撃性能を高める。,災禍転福 災禍転福Lv2 状態異常や属性やられを解除すると、一定時間攻撃性能を高める。 状態異常や属性やられを解除すると30秒間、攻撃性能が上がる
災禍転福,災禍転福Lv3,3,戦闘(攻撃),状態異常や属性やられを解除すると30秒間、攻撃性能が上がる,,,12,状態異常や属性やられを解除すると、一定時間攻撃性能を高める。,災禍転福 災禍転福Lv3 状態異常や属性やられを解除すると、一定時間攻撃性能を高める。 状態異常や属性やられを解除すると30秒間、攻撃性能が上がる
会心撃【属性】,会心撃【属性】Lv1,1,戦闘(属性・異常),攻撃で会心が発生した際に、与える属性ダメージが高くなる。効果発動時、属性ダメージ1.05倍,11,110,9,会心発生時の属性ダメージを高める。,会心撃【属性】 会心撃【属性】Lv1 会心発生時の属性ダメージを高める。 攻撃で会心が発生した際に、与える属性ダメージが高くなる。効果発動時、属性ダメージ1.05倍
会心撃【属性】,会心撃【属性】Lv2,2,戦闘(属性・異常),攻撃で会心が発生した際に、与える属性ダメージが高くなる。効果発動時、属性ダメージ1.1倍,11,110,9,会心発生時の属性ダメージを高める。,会心撃【属性】 会心撃【属性】Lv2 会心発生時の属性ダメージを高める。 攻撃で会心が発生した際に、与える属性ダメージが高くなる。効果発動時、属性ダメージ1.1倍
会心撃【属性】,会心撃【属性】Lv3,3,戦闘(属性・異常),攻撃で会心が発生した際に、与える属性ダメージが高くなる。効果発動時、属性ダメージ1.2倍,11,110,9,会心発生時の属性ダメージを高める。,会心撃【属性】 会心撃【属性】Lv3 会心発生時の属性ダメージを高める。 攻撃で会心が発生した際に、与える属性ダメージが高くなる。効果発動時、属性ダメージ1.2倍
火属性攻撃強化,火属性攻撃強化Lv1,1,戦闘(属性・異常),火属性攻撃値+2,12,120,3,火属性武器の属性値を強化する。,火属性攻撃強化 火属性攻撃強化Lv1 火属性武器の属性値を強化する。 火属性攻撃値+2
火属性攻撃強化,火属性攻撃強化Lv2,2,戦闘(属性・異常),火属性攻撃値+3,12,120,3,火属性武器の属性値を強化する。,火属性攻撃強化 火属性攻撃強化Lv2 火属性武器の属性値を強化する。 火属性攻撃値+3
火属性攻撃強化,火属性攻撃強化Lv3,3,戦闘(属性・異常),火属性攻撃値を1.05倍し、火属性攻撃値に+4,12,120,3,火属性武器の属性値を強化する。,火属性攻撃強化 火属性攻撃強化Lv3 火属性武器の属性値を強化する。 火属性攻撃値を1.05倍し、火属性攻撃値に+4
火属性攻撃強化,火属性攻撃強化Lv4,4,戦闘(属性・異常),火属性攻撃値を1.1倍し、火属性攻撃値に+4,12,120,3,火属性武器の属性値を強化する。,火属性攻撃強化 火属性攻撃強化Lv4 火属性武器の属性値を強化する。 火属性攻撃値を1.1倍し、火属性攻撃値に+4
火属性攻撃強化,火属性攻撃強化Lv5,5,戦闘(属性・異常),火属性攻撃値を1.2倍し、火属性攻撃値に+4,12,120,3,火属性武器の属性値を強化する。,火属性攻撃強化 火属性攻撃強化Lv5 火属性武器の属性値を強化する。 火属性攻撃値を1.2倍し、火属性攻撃値に+4
水属性攻撃強化,水属性攻撃強化Lv1,1,戦闘(属性・異常),水属性攻撃値+2,13,130,3,水属性武器の属性値を強化する。,水属性攻撃強化 水属性攻撃強化Lv1 水属性武器の属性値を強化する。 水属性攻撃値+2
水属性攻撃強化,水属性攻撃強化Lv2,2,戦闘(属性・異常),水属性攻撃値+3,13,130,3,水属性武器の属性値を強化する。,水属性攻撃強化 水属性攻撃強化Lv2 水属性武器の属性値を強化する。 水属性攻撃値+3
水属性攻撃強化,水属性攻撃強化Lv3,3,戦闘(属性・異常),水属性攻撃値を1.05倍し、水属性攻撃値に+4,13,130,3,水属性武器の属性値を強化する。,水属性攻撃強化 水属性攻撃強化Lv3 水属性武器の属性値を強化する。 水属性攻撃値を1.05倍し、水属性攻撃値に+4
水属性攻撃強化,水属性攻撃強化Lv4,4,戦闘(属性・異常),水属性攻撃値を1.1倍し、水属性攻撃値に+4,13,130,3,水属性武器の属性値を強化する。,水属性攻撃強化 水属性攻撃強化Lv4 水属性武器の属性値を強化する。 水属性攻撃値を1.1倍し、水属性攻撃値に+4
水属性攻撃強化,水属性攻撃強化Lv5,5,戦闘(属性・異常),水属性攻撃値を1.2倍し、水属性攻撃値に+4,13,130,3,水属性武器の属性値を強化する。,水属性攻撃強化 水属性攻撃強化Lv5 水属性武器の属性値を強化する。 水属性攻撃値を1.2倍し、水属性攻撃値に+4
氷属性攻撃強化,氷属性攻撃強化Lv1,1,戦闘(属性・異常),氷属性攻撃値+2,14,140,3,氷属性武器の属性値を強化する。,氷属性攻撃強化 氷属性攻撃強化Lv1 氷属性武器の属性値を強化する。 氷属性攻撃値+2
氷属性攻撃強化,氷属性攻撃強化Lv2,2,戦闘(属性・異常),氷属性攻撃値+3,14,140,3,氷属性武器の属性値を強化する。,氷属性攻撃強化 氷属性攻撃強化Lv2 氷属性武器の属性値を強化する。 氷属性攻撃値+3
氷属性攻撃強化,氷属性攻撃強化Lv3,3,戦闘(属性・異常),氷属性攻撃値を1.05倍し、氷属性攻撃値に+4,14,140,3,氷属性武器の属性値を強化する。,氷属性攻撃強化 氷属性攻撃強化Lv3 氷属性武器の属性値を強化する。 氷属性攻撃値を1.05倍し、氷属性攻撃値に+4
氷属性攻撃強化,氷属性攻撃強化Lv4,4,戦闘(属性・異常),氷属性攻撃値を1.1倍し、氷属性攻撃値に+4,14,140,3,氷属性武器の属性値を強化する。,氷属性攻撃強化 氷属性攻撃強化Lv4 氷属性武器の属性値を強化する。 氷属性攻撃値を1.1倍し、氷属性攻撃値に+4
氷属性攻撃強化,氷属性攻撃強化Lv5,5,戦闘(属性・異常),氷属性攻撃値を1.2倍し、氷属性攻撃値に+4,14,140,3,氷属性武器の属性値を強化する。,氷属性攻撃強化 氷属性攻撃強化Lv5 氷属性武器の属性値を強化する。 氷属性攻撃値を1.2倍し、氷属性攻撃値に+4
